X,Y
74,33
75,33
76,33
77,33
78,33
79,33
84,33
85,33
86,33
87,33
104,33
105,33
106,33
107,33
112,33
113,33
114,33
115,33
116,33
117,33
122,33
123,33
124,33
125,33
126,33
127,33
64,34
65,34
66,34
67,34
77,34
78,34
79,34
80,34
83,34
84,34
85,34
86,34
105,34
106,34
107,34
108,34
111,34
112,34
113,34
114,34
124,34
125,34
126,34
127,34
64,35
65,35
66,35
78,35
79,35
80,35
81,35
82,35
83,35
84,35
85,35
106,35
107,35
108,35
109,35
110,35
111,35
112,35
113,35
125,35
126,35
127,35
64,36
65,36
66,36
79,36
80,36
81,36
82,36
83,36
84,36
107,36
108,36
109,36
110,36
111,36
112,36
125,36
126,36
127,36
63,37
64,37
65,37
66,37
80,37
81,37
82,37
83,37
108,37
109,37
110,37
111,37
125,37
126,37
127,37
64,38
65,38
66,38
79,38
80,38
81,38
82,38
83,38
84,38
107,38
108,38
109,38
110,38
111,38
112,38
125,38
126,38
127,38
64,39
65,39
66,39
78,39
79,39
80,39
81,39
82,39
83,39
84,39
85,39
106,39
107,39
108,39
109,39
110,39
111,39
112,39
113,39
125,39
126,39
127,39
64,40
65,40
66,40
77,40
78,40
79,40
80,40
83,40
84,40
85,40
86,40
105,40
106,40
107,40
108,40
111,40
112,40
113,40
114,40
125,40
126,40
127,40
64,41
65,41
66,41
67,41
75,41
76,41
77,41
78,41
79,41
83,41
84,41
85,41
86,41
87,41
104,41
105,41
106,41
107,41
108,41
112,41
113,41
114,41
115,41
116,41
124,41
125,41
126,41
127,41
65,42
66,42
67,42
68,42
69,42
70,42
71,42
72,42
73,42
74,42
75,42
76,42
77,42
78,42
84,42
85,42
86,42
87,42
88,42
103,42
104,42
105,42
106,42
107,42
113,42
114,42
115,42
116,42
117,42
118,42
119,42
120,42
121,42
122,42
123,42
124,42
125,42
126,42
127,42
66,43
67,43
68,43
69,43
70,43
71,43
72,43
73,43
74,43
75,43
76,43
77,43
85,43
86,43
87,43
88,43
89,43
102,43
103,43
104,43
105,43
106,43
114,43
115,43
116,43
117,43
118,43
119,43
120,43
121,43
122,43
123,43
124,43
125,43
126,43
67,44
68,44
69,44
70,44
71,44
72,44
73,44
74,44
75,44
76,44
86,44
87,44
88,44
89,44
90,44
101,44
102,44
103,44
104,44
105,44
115,44
116,44
117,44
118,44
119,44
120,44
121,44
122,44
123,44
124,44
125,44
68,45
69,45
70,45
71,45
72,45
73,45
74,45
75,45
87,45
88,45
89,45
90,45
91,45
100,45
101,45
102,45
103,45
104,45
116,45
117,45
118,45
119,45
120,45
121,45
122,45
123,45
88,46
89,46
90,46
91,46
92,46
99,46
100,46
101,46
102,46
103,46
89,47
90,47
91,47
92,47
93,47
98,47
99,47
100,47
101,47
102,47
90,48
91,48
92,48
93,48
94,48
97,48
98,48
99,48
100,48
101,48
91,49
92,49
93,49
94,49
97,49
98,49
99,49
100,49
92,50
93,50
94,50
95,50
96,50
97,50
98,50
99,50
93,51
94,51
95,51
96,51
97,51
98,51
94,52
95,52
96,52
97,52
93,53
94,53
95,53
96,53
97,53
98,53
93,54
94,54
95,54
96,54
97,54
98,54
92,55
93,55
94,55
95,55
96,55
97,55
98,55
99,55
91,56
92,56
93,56
94,56
97,56
98,56
99,56
100,56
91,57
92,57
93,57
94,57
97,57
98,57
99,57
100,57
90,58
91,58
92,58
93,58
98,58
99,58
100,58
101,58
90,59
91,59
92,59
99,59
100,59
101,59
90,60
91,60
92,60
99,60
100,60
101,60
90,61
91,61
92,61
99,61
100,61
101,61
36,62
37,62
38,62
39,62
40,62
41,62
42,62
89,62
90,62
91,62
92,62
99,62
100,62
101,62
102,62
150,62
151,62
152,62
153,62
154,62
155,62
35,63
36,63
37,63
38,63
39,63
40,63
41,63
42,63
43,63
89,63
90,63
91,63
100,63
101,63
102,63
148,63
149,63
150,63
151,63
152,63
153,63
154,63
155,63
156,63
34,64
35,64
36,64
37,64
38,64
39,64
40,64
41,64
42,64
43,64
44,64
89,64
90,64
91,64
100,64
101,64
102,64
147,64
148,64
149,64
150,64
151,64
152,64
153,64
154,64
155,64
156,64
157,64
33,65
34,65
35,65
36,65
37,65
38,65
39,65
40,65
41,65
42,65
43,65
44,65
45,65
89,65
90,65
91,65
100,65
101,65
102,65
146,65
147,65
148,65
149,65
150,65
151,65
152,65
153,65
154,65
155,65
156,65
157,65
158,65
32,66
33,66
34,66
35,66
43,66
44,66
45,66
46,66
88,66
89,66
90,66
91,66
100,66
101,66
102,66
145,66
146,66
147,66
148,66
149,66
156,66
157,66
158,66
159,66
32,67
33,67
34,67
44,67
45,67
46,67
47,67
89,67
90,67
91,67
100,67
101,67
102,67
145,67
146,67
147,67
148,67
157,67
158,67
159,67
160,67
32,68
33,68
34,68
44,68
45,68
46,68
47,68
89,68
90,68
91,68
100,68
101,68
102,68
145,68
146,68
147,68
157,68
158,68
159,68
160,68
31,69
32,69
33,69
34,69
45,69
46,69
47,69
89,69
90,69
91,69
100,69
101,69
102,69
144,69
145,69
146,69
147,69
158,69
159,69
160,69
31,70
32,70
33,70
45,70
46,70
47,70
90,70
91,70
92,70
99,70
100,70
101,70
144,70
145,70
146,70
158,70
159,70
160,70
31,71
32,71
33,71
45,71
46,71
47,71
90,71
91,71
92,71
99,71
100,71
101,71
144,71
145,71
146,71
158,71
159,71
160,71
31,72
32,72
33,72
34,72
44,72
45,72
46,72
47,72
90,72
